belief state[non-destination destination-city],action[0-Moving/1-unloading],alpha-vector[non-destination destination-city],observation(0-non-destination/1-destination-city
[0.00404034 0.99595966],1,[-9.5   0.95],None
[0.6230317 0.3769683],0,[0.95 0.  ],0
[0.27352455 0.72647545],0,[0.95 0.  ],1
[0.00493814 0.99506186],1,[-9.5   0.95],None
[0.42085463 0.57914537],0,[0.95 0.  ],0
[0.19933511 0.80066489],0,[0.95 0.  ],1
[0.00357639 0.99642361],1,[-9.5   0.95],None
[0.08393317 0.91606683],0,[0.95 0.  ],0
[0.0457694 0.9542306],1,[-9.5   0.95],None
[0.4337029 0.5662971],0,[0.95 0.  ],0
[0.20439626 0.79560374],0,[0.95 0.  ],1
[0.00366875 0.99633125],1,[-9.5   0.95],None
[0.55405426 0.44594574],0,[0.95 0.  ],0
[0.24946321 0.75053679],0,[0.95 0.  ],1
[0.00449463 0.99550537],1,[-9.5   0.95],None
[0.89546152 0.10453848],0,[0.95 0.  ],0
[0.35787758 0.64212242],0,[0.95 0.  ],1
[0.00650727 0.99349273],1,[-9.5   0.95],None
[0.33086553 0.66913447],0,[0.95 0.  ],0
[0.16241323 0.83758677],0,[0.95 0.  ],0
[0.08555008 0.91444992],0,[0.95 0.  ],0
[0.04661726 0.95338274],1,[-9.5   0.95],None
[0.94672772 0.05327228],0,[0.95 0.  ],0
[0.37208816 0.62791184],0,[0.95 0.  ],0
[0.17965454 0.82034546],0,[0.95 0.  ],0
[0.09392932 0.90607068],0,[0.95 0.  ],0
[0.05099147 0.94900853],1,[-9.5   0.95],None
[0.38982182 0.61017818],0,[0.95 0.  ],1
[0.00710738 0.99289262],1,[-9.5   0.95],None
[0.78775352 0.21224648],0,[0.95 0.  ],0
[0.32640223 0.67359777],0,[0.95 0.  ],1
[0.00591915 0.99408085],1,[-9.5   0.95],None
[0.45619054 0.54380946],0,[0.95 0.  ],0
[0.21313409 0.78686591],0,[0.95 0.  ],1
[0.00382839 0.99617161],1,[-9.5   0.95],None
[0.46908903 0.53091097],0,[0.95 0.  ],0
[0.21807804 0.78192196],0,[0.95 0.  ],1
[0.00391882 0.99608118],1,[-9.5   0.95],None
[0.40544123 0.59455877],0,[0.95 0.  ],0
[0.19319617 0.80680383],0,[0.95 0.  ],0
[0.1004238 0.8995762],0,[0.95 0.  ],0
[0.0543593 0.9456407],1,[-9.5   0.95],None
[0.78973351 0.21026649],0,[0.95 0.  ],0
[0.3270017 0.6729983],0,[0.95 0.  ],1
[0.00593032 0.99406968],1,[-9.5   0.95],None
[0.69218215 0.30781785],0,[0.95 0.  ],0
[0.29647099 0.70352901],0,[0.95 0.  ],1
[0.00536277 0.99463723],1,[-9.5   0.95],None
[0.97707639 0.02292361],0,[0.95 0.  ],0
[0.38028051 0.61971949],0,[0.95 0.  ],1
[0.00692779 0.99307221],1,[-9.5   0.95],None
[0.54780048 0.45219952],0,[0.95 0.  ],1
[0.01012378 0.98987622],1,[-9.5   0.95],None
[0.57331137 0.42668863],0,[0.95 0.  ],1
[0.0106186 0.9893814],1,[-9.5   0.95],None
[0.91093267 0.08906733],0,[0.95 0.  ],0
[0.36221633 0.63778367],0,[0.95 0.  ],1
[0.00658859 0.99341141],1,[-9.5   0.95],None
[0.21261065 0.78738935],0,[0.95 0.  ],0
[0.10960459 0.89039541],0,[0.95 0.  ],1
[0.00195182 0.99804818],1,[-9.5   0.95],None
[0.50027816 0.49972184],0,[0.95 0.  ],0
[0.22983334 0.77016666],0,[0.95 0.  ],1
[0.00413413 0.99586587],1,[-9.5   0.95],None
[0.01541878 0.98458122],1,[-9.5   0.95],None
[0.63273646 0.36726354],0,[0.95 0.  ],0
[0.27681388 0.72318612],0,[0.95 0.  ],1
[0.00499891 0.99500109],1,[-9.5   0.95],None
[9.99339295e-01 6.60705064e-04],0,[0.95 0.  ],0
[0.38618955 0.61381045],0,[0.95 0.  ],1
[0.00703898 0.99296102],1,[-9.5   0.95],None
[0.4452718 0.5547282],0,[0.95 0.  ],0
[0.20891045 0.79108955],0,[0.95 0.  ],1
[0.00375119 0.99624881],1,[-9.5   0.95],None
[0.76137841 0.23862159],0,[0.95 0.  ],0
[0.31833882 0.68166118],0,[0.95 0.  ],1
[0.00576898 0.99423102],1,[-9.5   0.95],None
[0.72669819 0.27330181],0,[0.95 0.  ],0
[0.30751079 0.69248921],0,[0.95 0.  ],1
[0.00556766 0.99443234],1,[-9.5   0.95],None
[0.63926645 0.36073355],0,[0.95 0.  ],1
[0.01190808 0.98809192],1,[-9.5   0.95],None
[0.17210312 0.82789688],0,[0.95 0.  ],0
[0.09027471 0.90972529],0,[0.95 0.  ],1
[0.00160502 0.99839498],1,[-9.5   0.95],None
[0.310589 0.689411],0,[0.95 0.  ],0
[0.15372002 0.84627998],0,[0.95 0.  ],1
[0.00274749 0.99725251],1,[-9.5   0.95],None
[0.69985759 0.30014241],0,[0.95 0.  ],0
[0.29894912 0.70105088],0,[0.95 0.  ],1
[0.00540873 0.99459127],1,[-9.5   0.95],None
[0.54520861 0.45479139],0,[0.95 0.  ],0
[0.24628826 0.75371174],0,[0.95 0.  ],1
[0.00443624 0.99556376],1,[-9.5   0.95],None
[0.8403102 0.1596898],0,[0.95 0.  ],0
[0.34204473 0.65795527],0,[0.95 0.  ],1
[0.00621104 0.99378896],1,[-9.5   0.95],None
[0.33654841 0.66345159],0,[0.95 0.  ],0
[0.16482416 0.83517584],0,[0.95 0.  ],1
[0.00294869 0.99705131],1,[-9.5   0.95],None
[0.45366514 0.54633486],0,[0.95 0.  ],1
[0.00831657 0.99168343],1,[-9.5   0.95],None
[0.99641501 0.00358499],0,[0.95 0.  ],0
[0.38541816 0.61458184],0,[0.95 0.  ],1
[0.00702446 0.99297554],1,[-9.5   0.95],None
[0.17878305 0.82121695],0,[0.95 0.  ],0
[0.09350876 0.90649124],0,[0.95 0.  ],0
[0.05077271 0.94922729],1,[-9.5   0.95],None
[0.48867944 0.51132056],0,[0.95 0.  ],0
[0.22549428 0.77450572],0,[0.95 0.  ],1
[0.00405461 0.99594539],1,[-9.5   0.95],None
[0.24146686 0.75853314],0,[0.95 0.  ],0
[0.12297396 0.87702604],0,[0.95 0.  ],1
[0.00219233 0.99780767],1,[-9.5   0.95],None
[0.20947642 0.79052358],0,[0.95 0.  ],0
[0.10813272 0.89186728],0,[0.95 0.  ],0
[0.05833168 0.94166832],1,[-9.5   0.95],None
[0.55769118 0.44230882],0,[0.95 0.  ],0
[0.25076257 0.74923743],0,[0.95 0.  ],1
[0.00451853 0.99548147],1,[-9.5   0.95],None
[0.1212749 0.8787251],0,[0.95 0.  ],0
[0.06504143 0.93495857],1,[-9.5   0.95],None
[0.29757429 0.70242571],0,[0.95 0.  ],0
[0.14806407 0.85193593],0,[0.95 0.  ],0
[0.07848026 0.92151974],1,[-9.5   0.95],None
[0.43256298 0.56743702],0,[0.95 0.  ],0
[0.20394927 0.79605073],0,[0.95 0.  ],1
[0.00366059 0.99633941],1,[-9.5   0.95],None
[0.14120979 0.85879021],0,[0.95 0.  ],0
[0.07507181 0.92492819],1,[-9.5   0.95],None
[0.81833875 0.18166125],0,[0.95 0.  ],0
[0.33557289 0.66442711],0,[0.95 0.  ],1
[0.00609018 0.99390982],1,[-9.5   0.95],None
[0.9387695 0.0612305],0,[0.95 0.  ],0
[0.36991321 0.63008679],0,[0.95 0.  ],1
[0.00673299 0.99326701],1,[-9.5   0.95],None
[0.58218002 0.41781998],0,[0.95 0.  ],0
[0.25942137 0.74057863],0,[0.95 0.  ],1
[0.00467796 0.99532204],1,[-9.5   0.95],None
[0.49831284 0.50168716],0,[0.95 0.  ],0
[0.2291008 0.7708992],0,[0.95 0.  ],1
[0.0041207 0.9958793],1,[-9.5   0.95],None
[0.62231565 0.37768435],0,[0.95 0.  ],0
[0.27328093 0.72671907],0,[0.95 0.  ],1
[0.00493364 0.99506636],1,[-9.5   0.95],None
[0.19329462 0.80670538],0,[0.95 0.  ],0
[0.10047074 0.89952926],0,[0.95 0.  ],1
[0.00178781 0.99821219],1,[-9.5   0.95],None
[0.90894996 0.09105004],0,[0.95 0.  ],0
[0.36166275 0.63833725],0,[0.95 0.  ],0
[0.17534774 0.82465226],0,[0.95 0.  ],0
[0.0918479 0.9081521],0,[0.95 0.  ],0
[0.04990797 0.95009203],1,[-9.5   0.95],None
[0.3077951 0.6922049],0,[0.95 0.  ],0
[0.15251091 0.84748909],0,[0.95 0.  ],0
[0.08068066 0.91931934],1,[-9.5   0.95],None
[0.16692423 0.83307577],0,[0.95 0.  ],0
[0.0877545 0.9122455],0,[0.95 0.  ],1
[0.00155988 0.99844012],1,[-9.5   0.95],None
[0.22752694 0.77247306],0,[0.95 0.  ],0
[0.1165561 0.8834439],0,[0.95 0.  ],1
[0.00207681 0.99792319],1,[-9.5   0.95],None
[0.94757595 0.05242405],0,[0.95 0.  ],1
[0.01813728 0.98186272],1,[-9.5   0.95],None
[0.85340279 0.14659721],0,[0.95 0.  ],0
[0.34585611 0.65414389],0,[0.95 0.  ],1
[0.00628228 0.99371772],1,[-9.5   0.95],None
[0.10047275 0.89952725],0,[0.95 0.  ],0
[0.05438461 0.94561539],1,[-9.5   0.95],None
[0.02455784 0.97544216],1,[-9.5   0.95],None
[0.54379308 0.45620692],0,[0.95 0.  ],0
[0.24577824 0.75422176],0,[0.95 0.  ],1
[0.00442687 0.99557313],1,[-9.5   0.95],None
[0.53331041 0.46668959],0,[0.95 0.  ],0
[0.24198455 0.75801545],0,[0.95 0.  ],1
[0.00435715 0.99564285],1,[-9.5   0.95],None
[0.35811861 0.64188139],0,[0.95 0.  ],0
[0.17387546 0.82612454],0,[0.95 0.  ],0
[0.0911346 0.9088654],0,[0.95 0.  ],0
[0.04953619 0.95046381],1,[-9.5   0.95],None
[0.23915774 0.76084226],0,[0.95 0.  ],1
[0.00430522 0.99569478],1,[-9.5   0.95],None
[0.27283249 0.72716751],0,[0.95 0.  ],1
[0.00492536 0.99507464],1,[-9.5   0.95],None
[0.54371716 0.45628284],0,[0.95 0.  ],1
[0.01004478 0.98995522],1,[-9.5   0.95],None
[0.38505971 0.61494029],0,[0.95 0.  ],0
[0.18496356 0.81503644],0,[0.95 0.  ],1
[0.00331455 0.99668545],1,[-9.5   0.95],None
[0.33827877 0.66172123],0,[0.95 0.  ],0
[0.16555606 0.83444394],0,[0.95 0.  ],0
[0.08708682 0.91291318],0,[0.95 0.  ],0
[0.04742194 0.95257806],1,[-9.5   0.95],None
[0.81169008 0.18830992],0,[0.95 0.  ],0
[0.3335955 0.6664045],0,[0.95 0.  ],1
[0.00605328 0.99394672],1,[-9.5   0.95],None
[0.13712646 0.86287354],0,[0.95 0.  ],1
[0.00244752 0.99755248],1,[-9.5   0.95],None
[0.93200206 0.06799794],0,[0.95 0.  ],0
[0.36805483 0.63194517],0,[0.95 0.  ],1
[0.00669811 0.99330189],1,[-9.5   0.95],None
[0.78648247 0.21351753],0,[0.95 0.  ],0
[0.32601697 0.67398303],0,[0.95 0.  ],0
[0.16034748 0.83965252],0,[0.95 0.  ],0
[0.08453772 0.91546228],0,[0.95 0.  ],0
[0.04608655 0.95391345],1,[-9.5   0.95],None
[0.91396256 0.08603744],0,[0.95 0.  ],0
[0.36306089 0.63693911],0,[0.95 0.  ],1
[0.00660442 0.99339558],1,[-9.5   0.95],None
[0.7529294 0.2470706],0,[0.95 0.  ],0
[0.31572473 0.68427527],0,[0.95 0.  ],1
[0.00572035 0.99427965],1,[-9.5   0.95],None
[0.57192605 0.42807395],0,[0.95 0.  ],0
[0.25581477 0.74418523],0,[0.95 0.  ],1
[0.00461153 0.99538847],1,[-9.5   0.95],None
[0.25790397 0.74209603],0,[0.95 0.  ],0
[0.13044576 0.86955424],0,[0.95 0.  ],1
[0.00232698 0.99767302],1,[-9.5   0.95],None
[0.25338837 0.74661163],0,[0.95 0.  ],0
[0.12840332 0.87159668],0,[0.95 0.  ],1
[0.00229016 0.99770984],1,[-9.5   0.95],None
[0.46472613 0.53527387],0,[0.95 0.  ],1
[0.00852741 0.99147259],1,[-9.5   0.95],None
[0.67463122 0.32536878],0,[0.95 0.  ],0
[0.29075366 0.70924634],0,[0.95 0.  ],1
[0.00525682 0.99474318],1,[-9.5   0.95],None
[0.34528337 0.65471663],0,[0.95 0.  ],0
[0.16850844 0.83149156],0,[0.95 0.  ],1
[0.00301553 0.99698447],1,[-9.5   0.95],None
[0.14177209 0.85822791],0,[0.95 0.  ],0
[0.0753522 0.9246478],1,[-9.5   0.95],None
[0.4887937 0.5112063],0,[0.95 0.  ],0
[0.22553722 0.77446278],0,[0.95 0.  ],1
[0.00405539 0.99594461],1,[-9.5   0.95],None
[0.29931596 0.70068404],0,[0.95 0.  ],0
[0.14882446 0.85117554],0,[0.95 0.  ],0
[0.07885712 0.92114288],1,[-9.5   0.95],None
[0.56127376 0.43872624],0,[0.95 0.  ],0
[0.2520391 0.7479609],0,[0.95 0.  ],1
[0.00454202 0.99545798],1,[-9.5   0.95],None
[0.33264334 0.66735666],0,[0.95 0.  ],0
[0.16316864 0.83683136],0,[0.95 0.  ],1
[0.00291867 0.99708133],1,[-9.5   0.95],None
[0.90952185 0.09047815],0,[0.95 0.  ],0
[0.3618225 0.6381775],0,[0.95 0.  ],1
[0.0065812 0.9934188],1,[-9.5   0.95],None
[0.18743461 0.81256539],0,[0.95 0.  ],0
[0.09766982 0.90233018],0,[0.95 0.  ],1
[0.00173756 0.99826244],1,[-9.5   0.95],None
[0.42399256 0.57600744],0,[0.95 0.  ],0
[0.20057587 0.79942413],0,[0.95 0.  ],1
[0.00359902 0.99640098],1,[-9.5   0.95],None
[0.54427847 0.45572153],0,[0.95 0.  ],0
[0.24595319 0.75404681],0,[0.95 0.  ],1
[0.00443008 0.99556992],1,[-9.5   0.95],None
[0.37495374 0.62504626],0,[0.95 0.  ],0
[0.18083208 0.81916792],0,[0.95 0.  ],0
[0.09449706 0.90550294],0,[0.95 0.  ],0
[0.05128666 0.94871334],1,[-9.5   0.95],None
[0.82152553 0.17847447],0,[0.95 0.  ],1
[0.01554951 0.98445049],1,[-9.5   0.95],None
[0.30691859 0.69308141],0,[0.95 0.  ],0
[0.15213101 0.84786899],0,[0.95 0.  ],1
[0.00271873 0.99728127],1,[-9.5   0.95],None
[0.40798541 0.59201459],0,[0.95 0.  ],0
[0.1942146 0.8057854],0,[0.95 0.  ],1
[0.00348302 0.99651698],1,[-9.5   0.95],None
[0.31152256 0.68847744],0,[0.95 0.  ],0
[0.15412342 0.84587658],0,[0.95 0.  ],1
[0.00275479 0.99724521],1,[-9.5   0.95],None
[0.25406706 0.74593294],0,[0.95 0.  ],0
[0.12871079 0.87128921],0,[0.95 0.  ],1
[0.0022957 0.9977043],1,[-9.5   0.95],None
[0.67372449 0.32627551],0,[0.95 0.  ],0
[0.29045635 0.70954365],0,[0.95 0.  ],0
[0.14494515 0.85505485],0,[0.95 0.  ],0
[0.07693184 0.92306816],1,[-9.5   0.95],None
[0.20225338 0.79774662],0,[0.95 0.  ],1
[0.00362963 0.99637037],1,[-9.5   0.95],None
[0.675414 0.324586],0,[0.95 0.  ],0
[0.29101017 0.70898983],0,[0.95 0.  ],1
[0.00526157 0.99473843],1,[-9.5   0.95],None
[0.84238613 0.15761387],0,[0.95 0.  ],0
[0.34265129 0.65734871],0,[0.95 0.  ],1
[0.00622237 0.99377763],1,[-9.5   0.95],None
[0.26800708 0.73199292],0,[0.95 0.  ],0
[0.13498776 0.86501224],0,[0.95 0.  ],1
[0.00240892 0.99759108],1,[-9.5   0.95],None
[0.44245617 0.55754383],0,[0.95 0.  ],0
[0.20781551 0.79218449],0,[0.95 0.  ],1
[0.00373119 0.99626881],1,[-9.5   0.95],None
[0.72811674 0.27188326],0,[0.95 0.  ],0
[0.30795883 0.69204117],0,[0.95 0.  ],1
[0.00557598 0.99442402],1,[-9.5   0.95],None
[0.24955565 0.75044435],0,[0.95 0.  ],1
[0.00449633 0.99550367],1,[-9.5   0.95],None
[0.4197403 0.5802597],0,[0.95 0.  ],0
[0.19889376 0.80110624],0,[0.95 0.  ],0
[0.10313388 0.89686612],0,[0.95 0.  ],0
[0.0557589 0.9442411],1,[-9.5   0.95],None
[0.84315645 0.15684355],0,[0.95 0.  ],1
[0.01598948 0.98401052],1,[-9.5   0.95],None
[0.05875259 0.94124741],1,[-9.5   0.95],None
[0.12181893 0.87818107],0,[0.95 0.  ],1
[0.00217153 0.99782847],1,[-9.5   0.95],None
[0.87894747 0.12105253],0,[0.95 0.  ],0
[0.35319734 0.64680266],0,[0.95 0.  ],1
[0.00641962 0.99358038],1,[-9.5   0.95],None
[0.63027983 0.36972017],0,[0.95 0.  ],0
[0.27598341 0.72401659],0,[0.95 0.  ],0
[0.13854684 0.86145316],0,[0.95 0.  ],0
[0.07374207 0.92625793],1,[-9.5   0.95],None
[0.56289765 0.43710235],0,[0.95 0.  ],0
[0.2526166 0.7473834],0,[0.95 0.  ],0
[0.12805347 0.87194653],0,[0.95 0.  ],0
[0.06847187 0.93152813],1,[-9.5   0.95],None
[0.65987642 0.34012358],0,[0.95 0.  ],0
[0.28589179 0.71410821],0,[0.95 0.  ],1
[0.0051668 0.9948332],1,[-9.5   0.95],None
[0.31532755 0.68467245],0,[0.95 0.  ],0
[0.15576443 0.84423557],0,[0.95 0.  ],1
[0.0027845 0.9972155],1,[-9.5   0.95],None
[0.44778406 0.55221594],0,[0.95 0.  ],0
[0.20988541 0.79011459],0,[0.95 0.  ],1
[0.00376901 0.99623099],1,[-9.5   0.95],None
[0.51050901 0.48949099],0,[0.95 0.  ],0
[0.2336292 0.7663708],0,[0.95 0.  ],1
[0.00420375 0.99579625],1,[-9.5   0.95],None
[0.38712651 0.61287349],0,[0.95 0.  ],0
[0.18580444 0.81419556],0,[0.95 0.  ],0
[0.09688813 0.90311187],0,[0.95 0.  ],0
[0.05252824 0.94747176],1,[-9.5   0.95],None
[0.55494897 0.44505103],0,[0.95 0.  ],0
[0.24978319 0.75021681],0,[0.95 0.  ],1
[0.00450052 0.99549948],1,[-9.5   0.95],None
[0.70065171 0.29934829],0,[0.95 0.  ],0
[0.29920475 0.70079525],0,[0.95 0.  ],1
[0.00541347 0.99458653],1,[-9.5   0.95],None
[0.40136706 0.59863294],0,[0.95 0.  ],0
[0.19156106 0.80843894],0,[0.95 0.  ],1
[0.00343467 0.99656533],1,[-9.5   0.95],None
[0.56109677 0.43890323],0,[0.95 0.  ],0
[0.25197611 0.74802389],0,[0.95 0.  ],1
[0.00454086 0.99545914],1,[-9.5   0.95],None
[0.99109439 0.00890561],0,[0.95 0.  ],0
[0.38401097 0.61598903],0,[0.95 0.  ],1
[0.00699797 0.99300203],1,[-9.5   0.95],None
[0.06576708 0.93423292],1,[-9.5   0.95],None
[0.83623768 0.16376232],0,[0.95 0.  ],0
[0.34085235 0.65914765],0,[0.95 0.  ],1
[0.00618876 0.99381124],1,[-9.5   0.95],None
[0.8762582 0.1237418],0,[0.95 0.  ],0
[0.35243033 0.64756967],0,[0.95 0.  ],0
[0.17150373 0.82849627],0,[0.95 0.  ],0
[0.0899836 0.9100164],0,[0.95 0.  ],0
[0.04893578 0.95106422],1,[-9.5   0.95],None
[0.43797166 0.56202834],0,[0.95 0.  ],0
[0.20606664 0.79393336],0,[0.95 0.  ],1
[0.00369925 0.99630075],1,[-9.5   0.95],None
[0.90937277 0.09062723],0,[0.95 0.  ],0
[0.36178086 0.63821914],0,[0.95 0.  ],1
[0.00658042 0.99341958],1,[-9.5   0.95],None
[0.2416701 0.7583299],0,[0.95 0.  ],0
[0.12306697 0.87693303],0,[0.95 0.  ],0
[0.06595034 0.93404966],1,[-9.5   0.95],None
[0.67020036 0.32979964],0,[0.95 0.  ],0
[0.289299 0.710701],0,[0.95 0.  ],0
[0.1444363 0.8555637],0,[0.95 0.  ],1
[0.00257956 0.99742044],1,[-9.5   0.95],None
[0.42193256 0.57806744],0,[0.95 0.  ],0
[0.19976167 0.80023833],0,[0.95 0.  ],1
[0.00358417 0.99641583],1,[-9.5   0.95],None
[0.14476952 0.85523048],0,[0.95 0.  ],0
[0.07684451 0.92315549],1,[-9.5   0.95],None
[0.46977522 0.53022478],0,[0.95 0.  ],0
[0.21833969 0.78166031],0,[0.95 0.  ],1
[0.0039236 0.9960764],1,[-9.5   0.95],None
[0.1591964 0.8408036],0,[0.95 0.  ],0
[0.08397281 0.91602719],0,[0.95 0.  ],1
[0.00149219 0.99850781],1,[-9.5   0.95],None
[0.80850725 0.19149275],0,[0.95 0.  ],0
[0.33264574 0.66735426],0,[0.95 0.  ],1
[0.00603556 0.99396444],1,[-9.5   0.95],None
[0.58247906 0.41752094],0,[0.95 0.  ],0
[0.25952615 0.74047385],0,[0.95 0.  ],1
[0.0046799 0.9953201],1,[-9.5   0.95],None
[0.40056932 0.59943068],0,[0.95 0.  ],0
[0.19124029 0.80875971],0,[0.95 0.  ],1
[0.00342883 0.99657117],1,[-9.5   0.95],None
[0.98495018 0.01504982],0,[0.95 0.  ],0
[0.38237999 0.61762001],0,[0.95 0.  ],1
[0.00696728 0.99303272],1,[-9.5   0.95],None
[0.04332369 0.95667631],1,[-9.5   0.95],None
[0.66695604 0.33304396],0,[0.95 0.  ],1
[0.01245385 0.98754615],1,[-9.5   0.95],None
[0.82351463 0.17648537],0,[0.95 0.  ],0
[0.33710611 0.66289389],0,[0.95 0.  ],1
[0.0061188 0.9938812],1,[-9.5   0.95],None
[0.3136332 0.6863668],0,[0.95 0.  ],1
[0.00568145 0.99431855],1,[-9.5   0.95],None
[0.93166762 0.06833238],0,[0.95 0.  ],0
[0.36796278 0.63203722],0,[0.95 0.  ],1
[0.00669638 0.99330362],1,[-9.5   0.95],None
[0.86654786 0.13345214],0,[0.95 0.  ],0
[0.34964941 0.65035059],0,[0.95 0.  ],1
[0.00635322 0.99364678],1,[-9.5   0.95],None
[0.99461905 0.00538095],0,[0.95 0.  ],0
[0.3849437 0.6150563],0,[0.95 0.  ],1
[0.00701553 0.99298447],1,[-9.5   0.95],None
[0.75710927 0.24289073],0,[0.95 0.  ],0
[0.31701987 0.68298013],0,[0.95 0.  ],1
[0.00574444 0.99425556],1,[-9.5   0.95],None
[0.12953676 0.87046324],0,[0.95 0.  ],0
[0.0692198 0.9307802],1,[-9.5   0.95],None
[0.38189769 0.61810231],0,[0.95 0.  ],0
[0.18367443 0.81632557],0,[0.95 0.  ],1
[0.0032911 0.9967089],1,[-9.5   0.95],None
[0.57994226 0.42005774],0,[0.95 0.  ],0
[0.25863661 0.74136339],0,[0.95 0.  ],0
[0.13077641 0.86922359],0,[0.95 0.  ],0
[0.06984412 0.93015588],1,[-9.5   0.95],None
[0.33077585 0.66922415],0,[0.95 0.  ],0
[0.1623751 0.8376249],0,[0.95 0.  ],1
[0.00290428 0.99709572],1,[-9.5   0.95],None
[0.49266928 0.50733072],0,[0.95 0.  ],0
[0.22699119 0.77300881],0,[0.95 0.  ],0
[0.11630793 0.88369207],0,[0.95 0.  ],0
[0.06251471 0.93748529],1,[-9.5   0.95],None
[0.6807172 0.3192828],0,[0.95 0.  ],0
[0.29274426 0.70725574],0,[0.95 0.  ],1
[0.0052937 0.9947063],1,[-9.5   0.95],None
[0.69190327 0.30809673],0,[0.95 0.  ],0
[0.29638069 0.70361931],0,[0.95 0.  ],1
[0.0053611 0.9946389],1,[-9.5   0.95],None
[0.63472365 0.36527635],0,[0.95 0.  ],0
[0.27748459 0.72251541],0,[0.95 0.  ],0
[0.13921405 0.86078595],0,[0.95 0.  ],0
[0.07407553 0.92592447],1,[-9.5   0.95],None
[0.71773074 0.28226926],0,[0.95 0.  ],0
[0.30466821 0.69533179],0,[0.95 0.  ],1
[0.00551487 0.99448513],1,[-9.5   0.95],None
[0.88483078 0.11516922],0,[0.95 0.  ],0
[0.35487058 0.64512942],0,[0.95 0.  ],1
[0.00645095 0.99354905],1,[-9.5   0.95],None
[0.27321185 0.72678815],0,[0.95 0.  ],0
[0.13731282 0.86268718],0,[0.95 0.  ],1
[0.00245088 0.99754912],1,[-9.5   0.95],None
[0.19704284 0.80295716],0,[0.95 0.  ],0
[0.10225493 0.89774507],0,[0.95 0.  ],1
[0.00181982 0.99818018],1,[-9.5   0.95],None
[0.79509734 0.20490266],0,[0.95 0.  ],0
[0.32862161 0.67137839],0,[0.95 0.  ],1
[0.00596051 0.99403949],1,[-9.5   0.95],None
[0.48006855 0.51993145],0,[0.95 0.  ],0
[0.22224815 0.77775185],0,[0.95 0.  ],1
[0.00399515 0.99600485],1,[-9.5   0.95],None
[0.12954521 0.87045479],0,[0.95 0.  ],0
[0.06922405 0.93077595],1,[-9.5   0.95],None
[0.28777298 0.71222702],0,[0.95 0.  ],0
[0.14376462 0.85623538],0,[0.95 0.  ],0
[0.07634465 0.92365535],1,[-9.5   0.95],None
[0.7359344 0.2640656],0,[0.95 0.  ],1
[0.01382496 0.98617504],1,[-9.5   0.95],None
[0.3282603 0.6717397],0,[0.95 0.  ],1
[0.00595378 0.99404622],1,[-9.5   0.95],None
[0.56114836 0.43885164],0,[0.95 0.  ],0
[0.25199447 0.74800553],0,[0.95 0.  ],0
[0.12777129 0.87222871],0,[0.95 0.  ],0
[0.06832948 0.93167052],1,[-9.5   0.95],None
[0.04879183 0.95120817],1,[-9.5   0.95],None
[0.69340662 0.30659338],0,[0.95 0.  ],0
[0.29686723 0.70313277],0,[0.95 0.  ],1
[0.00537012 0.99462988],1,[-9.5   0.95],None
[0.08111637 0.91888363],1,[-9.5   0.95],None
[0.6622989 0.3377011],0,[0.95 0.  ],0
[0.28669353 0.71330647],0,[0.95 0.  ],1
[0.00518164 0.99481836],1,[-9.5   0.95],None
[0.55282407 0.44717593],0,[0.95 0.  ],0
[0.24902291 0.75097709],0,[0.95 0.  ],1
[0.00448653 0.99551347],1,[-9.5   0.95],None
[0.02629074 0.97370926],1,[-9.5   0.95],None
[0.24278028 0.75721972],0,[0.95 0.  ],0
[0.12357478 0.87642522],0,[0.95 0.  ],1
[0.00220315 0.99779685],1,[-9.5   0.95],None
[0.75952314 0.24047686],0,[0.95 0.  ],0
[0.31776611 0.68223389],0,[0.95 0.  ],1
[0.00575833 0.99424167],1,[-9.5   0.95],None
[0.14871049 0.85128951],0,[0.95 0.  ],0
[0.07880065 0.92119935],1,[-9.5   0.95],None
[0.85529653 0.14470347],0,[0.95 0.  ],0
[0.34640464 0.65359536],0,[0.95 0.  ],1
[0.00629253 0.99370747],1,[-9.5   0.95],None
[0.61049301 0.38950699],0,[0.95 0.  ],0
[0.26924034 0.73075966],0,[0.95 0.  ],0
[0.13553959 0.86446041],0,[0.95 0.  ],0
[0.07223667 0.92776333],1,[-9.5   0.95],None
[0.5134778 0.4865222],0,[0.95 0.  ],0
[0.2347252 0.7652748],0,[0.95 0.  ],1
[0.00422386 0.99577614],1,[-9.5   0.95],None
[0.75672298 0.24327702],0,[0.95 0.  ],0
[0.31690033 0.68309967],0,[0.95 0.  ],1
[0.00574222 0.99425778],1,[-9.5   0.95],None
[0.87802242 0.12197758],0,[0.95 0.  ],0
[0.35293366 0.64706634],0,[0.95 0.  ],1
[0.00641468 0.99358532],1,[-9.5   0.95],None
[0.45901046 0.54098954],0,[0.95 0.  ],0
[0.21421914 0.78578086],0,[0.95 0.  ],1
[0.00384823 0.99615177],1,[-9.5   0.95],None
[0.96139486 0.03860514],0,[0.95 0.  ],0
[0.37606742 0.62393258],0,[0.95 0.  ],1
[0.00684859 0.99315141],1,[-9.5   0.95],None
[0.56614645 0.43385355],0,[0.95 0.  ],0
[0.25376989 0.74623011],0,[0.95 0.  ],1
[0.00457388 0.99542612],1,[-9.5   0.95],None
[0.32947146 0.67052854],0,[0.95 0.  ],0
[0.16182011 0.83817989],0,[0.95 0.  ],1
